source,text
introduction/index.html,"   Documentation  What is MLflow?       What is MLflow?  Stepping into the world of Machine Learning (ML) is an exciting journey, but it often comes with complexities that can hinder innovation and experimentation. MLflow is a solution to many of these issues in this dynamic landscape, offering tools and simplifying processes to streamline the ML lifecycle and foster collaboration among ML practitioners. Whether you’re an individual researcher, a member of a large team, or somewhere in between, MLflow provides a unified platform to navigate the intricate maze of model development, deployment, and management. MLflow aims to enable innovation in ML solution development by streamlining otherwise cumbersome logging, organization, and lineage concerns that are unique to model development. This focus allows you to ensure that your ML projects are robust, transparent, and ready for real-world challenges. Read on to discover the core components of MLflow and understand the unique advantages it brings to the complex workflows associated with model development and management.  Core Components of MLflow  MLflow, at its core, provides a suite of tools aimed at simplifying the ML workflow. It is tailored to assist ML practitioners throughout the various stages of ML development and deployment. Despite its expansive offerings, MLflow’s functionalities are rooted in several foundational components:  Tracking: MLflow Tracking provides both an API and UI dedicated to the logging of parameters, code versions, metrics, and artifacts during the ML process. This centralized repository captures details such as parameters, metrics, artifacts, data, and environment configurations, giving teams insight into their models’ evolution over time. Whether working in standalone scripts, notebooks, or other environments, Tracking facilitates the logging of results either to local files or a server, making it easier to compare multiple runs across different users. Model Registry: A systematic approach to model management, the Model Registry assists in handling different versions of models, discerning their current state, and ensuring a smooth transition from development to production. It offers a centralized model store, APIs, and UI to collaboratively manage an MLflow Model’s full lifecycle, including model lineage, versioning, stage transitions, and annotations. AI Gateway: This server, equipped with a set of standardized APIs, streamlines access to both SaaS and OSS LLM models. It serves as a unified interface, bolstering security through authenticated access, and offers a common set of APIs for prominent LLMs. Evaluate: Designed for in-depth model analysis, this set of tools facilitates objective model comparison, be it traditional ML algorithms or cutting-edge LLMs. Prompt Engineering UI: A dedicated environment for prompt engineering, this UI-centric component provides a space for prompt experimentation, refinement, evaluation, testing, and deployment. Recipes: Serving as a guide for structuring ML projects, Recipes, while offering recommendations, are focused on ensuring functional end results optimized for real-world deployment scenarios. Projects: MLflow Projects standardize the packaging of ML code, workflows, and artifacts, akin to an executable. Each project, be it a directory with code or a Git repository, employs a descriptor or convention to define its dependencies and execution method.  By integrating these core components, MLflow offers an end-to-end platform, ensuring efficiency, consistency, and traceability throughout the ML lifecycle.   Why Use MLflow?  The machine learning (ML) process is intricate, comprising various stages, from data preprocessing to model deployment and monitoring. Ensuring productivity and efficiency throughout this lifecycle poses several challenges:  Experiment Management: It’s tough to keep track of the myriad experiments, especially when working with files or interactive notebooks. Determining which combination of data, code, and parameters led to a particular result can become a daunting task. Reproducibility: Ensuring consistent results across runs is not trivial. Beyond just tracking code versions and parameters, capturing the entire environment, including library dependencies, is critical. This becomes even more challenging when collaborating with other data scientists or when scaling the code to different platforms. Deployment Consistency: With the plethora of ML libraries available, there’s often no standardized way to package and deploy models. Custom solutions can lead to inconsistencies, and the crucial link between a model and the code and parameters that produced it might be lost. Model Management: As data science teams produce numerous models, managing these models, their versions, and stage transitions becomes a significant hurdle. Without a centralized platform, managing model lifecycles, from development to staging to production, becomes unwieldy. Library Agnosticism: While individual ML libraries might offer solutions to some of the challenges, achieving the best results often involves experimenting across multiple libraries. A platform that offers compatibility with various libraries while ensuring models are usable as reproducible “black boxes” is essential.  MLflow addresses these challenges by offering a unified platform tailored for the entire ML lifecycle. Its benefits include:  Traceability: With tools like the Tracking Server, every experiment is logged, ensuring that teams can trace back and understand the evolution of models. Consistency: Be it accessing models through the AI Gateway or structuring projects with MLflow Recipes, MLflow promotes a consistent approach, reducing both the learning curve and potential errors. Flexibility: MLflow’s library-agnostic design ensures compatibility with a wide range of machine learning libraries. It offers comprehensive support across different programming languages, backed by a robust REST API, CLI, and APIs for Python API, R API, and Java API.  By simplifying the complex landscape of ML workflows, MLflow empowers data scientists and developers to focus on building and refining models, ensuring a streamlined path from experimentation to production.   Who Uses MLflow?  Throughout the lifecycle of a particular project, there are components within MLflow that are designed to cater to different needs.    MLflow’s versatility enhances workflows across various roles, from data scientists to prompt engineers, extending its impact beyond just the confines of a Data Science team.  Data Scientists leverage MLflow for:  Experiment tracking and hypothesis testing persistence. Code structuring for better reproducibility. Model packaging and dependency management. Evaluating hyperparameter tuning selection boundaries. Comparing the results of model retraining over time. Reviewing and selecting optimal models for deployment.  MLOps Professionals utilize MLflow to:  Manage the lifecycles of trained models, both pre and post deployment. Deploy models securely to production environments. Audit and review candidate models prior to deployment. Manage deployment dependencies.  Data Science Managers interact with MLflow by:  Reviewing the outcomes of experimentation and modeling activities. Collaborating with teams to ensure that modeling objectives align with business goals.  Prompt Engineering Users use MLflow for:  Evaluating and experimenting with large language models. Crafting custom prompts and persisting their candidate creations. Deciding on the best base model suitable for their specific project requirements.     Use Cases of MLflow  MLflow is versatile, catering to diverse machine learning scenarios. Here are some typical use cases:  Experiment Tracking: A data science team leverages MLflow Tracking to log parameters and metrics for experiments within a particular domain. Using the MLflow UI, they can compare results and fine-tune their solution approach. The outcomes of these experiments are preserved as MLflow models. Model Selection and Deployment: MLOps engineers employ the MLflow UI to assess and pick the top-performing models. The chosen model is registered in the MLflow Registry, allowing for monitoring its real-world performance. Model Performance Monitoring: Post deployment, MLOps engineers utilize the MLflow Registry to gauge the model’s efficacy, juxtaposing it against other models in a live environment. Collaborative Projects: Data scientists embarking on new ventures organize their work as an MLflow Project. This structure facilitates easy sharing and parameter modifications, promoting collaboration.    Scalability in MLflow  MLflow is architected to seamlessly integrate with diverse data environments, from small datasets to Big Data applications. It’s built with the understanding that quality machine learning outcomes often hinge on robust data sources, and as such, scales adeptly to accommodate varying data needs. Here’s how MLflow addresses scalability across different dimensions:  Distributed Execution: MLflow runs can operate on distributed clusters. For instance, integration with Apache Spark allows for distributed processing. Furthermore, runs can be initiated on the distributed infrastructure of your preference, with results relayed to a centralized Tracking Server for analysis. Notably, MLflow offers an integrated API to initiate runs on Databricks. Parallel Runs: For use cases like hyperparameter tuning, MLflow can orchestrate multiple runs simultaneously, each with distinct parameters. Interoperability with Distributed Storage: MLflow Projects can interface with distributed storage solutions, including Azure ADLS, Azure Blob Storage, AWS S3, Cloudflare R2 and DBFS. Whether it’s automatically fetching files to a local environment or interfacing with a distributed storage URI directly, MLflow ensures that projects can handle extensive datasets – even scenarios like processing a 100 TB file. Centralized Model Management with Model Registry: Large-scale organizations can benefit from the MLflow Model Registry, a unified platform tailored for collaborative model lifecycle management. In environments where multiple data science teams might be concurrently developing numerous models, the Model Registry proves invaluable. It streamlines model discovery, tracks experiments, manages versions, and facilitates understanding a model’s intent across different teams.  By addressing these scalability dimensions, MLflow ensures that users can capitalize on its capabilities regardless of their data environment’s size or complexity.        Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
getting-started/index.html,"   Documentation  Getting Started with MLflow       Getting Started with MLflow  For those new to MLflow or seeking a refresher on its core functionalities, the quickstart tutorials here are the perfect starting point. They will guide you step-by-step through fundamental concepts, focusing purely on a task that will maximize your understanding of how to use MLflow to solve a particular task.  5-minute Quickstart - MLflow Tracking  In this brief introductory quickstart on MLflow Tracking, you will learn how to leverage MLflow to:  Log training statistics (loss, accuracy, etc.) and hyperparameters for a model Log (save) a model for later retrieval Register a model to enable state transitions for deployment Load the model and use it for inference  In the process of learning these key concepts, you will be exposed to the MLflow fluent API, the MLflow Tracking UI, and learn how to add metadata associated with a model training event to an MLflow run.   If you would like to get started immediately by interactively running the notebook, you can:  Download the Notebook Quickstart elements  You can read through the quickstart as a guide, or navigate directly to the notebook example to get started.                          MLflow Tracking Quickstart Guide                                   Learn the basics of MLflow Tracking in a fast-paced guide with a focus on seeing your first model in the MLflow UI                                           MLflow Tracking Quickstart Notebook                                       See an example of using the MLflow fluent API to log, load, and register a model for inference. Great for code-focused learners!                        Logging your first MLflow Model  In this lengthy tutorial, you will walk through the basics of MLflow in a sequential and guided manner. With each subsequent step, you will increase your familiarity with the primary functionality around MLflow Tracking and how to navigate the MLflow UI. If you would like to get started immediately by interactively running the notebook, you can:  Download the Notebook Guide sections  Interested in navigating directly to the content that you’re curious about? Select the section from each tutorial below!                          Setting up the MLflow Tracking Server                                       Learn how to start an MLflow Tracking Server and the MLflow UI Server locally                                           Using the MLflow Client                                       Connect to the Tracking Server with the MLflow Client and learn how to search for experiments                                           Create your first Experiment                                       Explore the MLflow UI and create your first MLflow experiment with a unique name and identifying tags                                           Search Experiments by tags                                       Learn how to use tags for MLflow experiments and how to leverage them for searching                                           Creating a Dataset for Testing                                       Build a synthetic dataset to use while exploring the features of MLflow                                           Logging your first MLflow run                                       Train a model using the synthetic dataset and log the trained model, metrics, and parameters                                           View the full Notebook                                       See the tutorial notebook in its entirety. If you prefer just reading code, this is the best place to look.                          15 minute Quickstart - Autologging in MLflow  In this rapid-pace quickstart, you will be exposed to the autologging feature in MLflow to simplify the logging of models, metrics, and parameters. After training and viewing the logged run data, we’ll load the logged model to perform inference, showing core features of MLflow Tracking in the most time-efficient manner possible.                          Introduction to autologging                                       Train a model and use MLflow autologging to automatically record model artifacts, metrics, and parameters                                           View autologged data in the MLflow UI                                       See what autologging will autonomously log for you during model training with only a single line of code                                           Loading a model for inference                                       Load the autologged model in its native format and use it to generate predictions                         15 minute Quickstart - Comparing Runs and Deploying your Best Model  This quickstart tutorial focuses on the MLflow UI’s run comparison feature, provides a brief overview of MLflow Projects, and shows how to register a model. After locally serving the registered model, a brief example of preparing a model for remote deployment via containerizing the model via Docker is covered.                          Generate runs                                       Run an MLflow Project that will perform hyperparameter tuning to generate a large volume of runs                                           Run comparison                                       Use the MLflow UI Runs Compare functionality to evaluate the hyperparameter tuning run and select the best model                                           Register the best model                                       Learn to register models with the MLflow UI and perform stage transitions from within the UI                                           Start a local ML inference server                                       Use the integrated inference server in MLflow to serve your registered model locally                                           Build a deployable container for your model                                       Learn how to generate a docker container that houses your model for deployment to external services                         5 Minute Tracking Server Overview  This quickstart tutorial walks through different types of MLflow Tracking Servers and how to use them to log your MLflow experiments.                          5 Minute Tracking Server Overview                                    Learn how to log MLflow experiments with different tracking servers                         Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
new-features/index.html,"   Documentation  New Features       New Features  Looking to learn about new significant releases in MLflow? Find out about the details of major features, changes, and deprecations below.                          MLflow Docs Overhaul                                        The MLflow docs are getting a facelift with added content, tutorials, and guides. Stay tuned for further improvements to the site!                   released in 2.8.0                           New Features for LLM Evaluation                                        The functionality provided for LLM evaluation in MLflow is getting greatly expanded. Check out all of the new features in the                     guide and the tutorials.                  Learn more  released in 2.8.0                           Updated Model Registry UI                                        A new opt-in Model Registry UI has been built that uses Aliases and Tags for managing model development. See                    more about the new UI workflow in the docs.                  Learn more  released in 2.8.0                           Spark Connect support                                        You can now log, save, and load models trained using Spark Connect. Try out Spark 3.5 and the MLflow integration today!                   released in 2.8.0                           AI21 Labs added as an MLflow Gateway provider                                        You can now use the MLflow AI Gateway to connect to LLMs hosted by AI21 Labs.                  Learn more  released in 2.8.0                           AWS Bedrock added as an MLflow Gateway provider                                        You can now use the MLflow AI Gateway to connect to LLMs hosted by AWS's Bedrock service.                  Learn more  released in 2.8.0                           PaLM 2 added as an MLflow Gateway provider                                        You can now use the MLflow AI Gateway to connect to LLMs hosted by Google's PaLM 2 service.                  Learn more  released in 2.8.0                           Hugging Face TGI added as an MLflow Gateway provider                                        You can self-host your own transformers-based models from the Hugging Face Hub and directly connect to the models with the AI Gateway                     with TGI.                  Learn more  released in 2.8.0                           LLM evaluation viewer added to MLflow UI                                        You can view your LLM evaluation results directly from the MLflow UI.                  Learn more  released in 2.7.0                           Introducting the Prompt Engineering UI                                        Link your MLflow Tracking Server with your MLflow AI Gateway Server to experiment, evaluate, and construct                     prompts that can be compared amongst different providers without writing a single line of code.                  Learn more  released in 2.7.0                           MosaicML Support in AI Gateway                                        MosaicML has now been added to the supported providers in MLflow AI Gateway.                     You can now seamlessly interface with managed popular models like                     MPT-30B and other models in the MPT family.                                       Try it out today with our example.                  Learn more  released in 2.7.0                           Cloudflare R2 now supported as an artifact store                                        Cloudflare's R2 storage backend is now supported for use as an artifact store. To learn more about                     R2, read the Cloudflare docs to get more information and to explore what is possible.                   released in 2.7.0                           Params support for PyFunc Models                                        PyFunc models now support passing parameters at inference time. With this new feature,                     you can define the allowable keys, with default values, for any parameters that you would like                     consumers of your model to be able to override. This is particularly useful for LLMs, where you                     might want to let users adjust commonly modified parameters for a model, such as token counts and temperature.                  Learn more  released in 2.6.0                           MLflow Serving support added to MLflow AI Gateway                                        The MLflow AI Gateway now supports defining an MLflow serving endpoint as provider. With this                     new feature, you can serve any OSS transformers model that conforms to the                     completions or embeddings route type                     definitions.                                       Try it out today with our end-to-end example.                  Learn more  released in 2.6.0                           Introducing the MLflow AI Gateway                                        We're excited to announce the newest top-level component in the MLflow ecosystem: The AI Gateway.                                       With this new feature, you can create a single access point to many of the most popular LLM SaaS services available now,                     simplifying interfaces, managing credentials, and providing a unified standard set of APIs to reduce the complexity of                     building products and services around LLMs.                  Learn more  released in 2.5.0                           MLflow Evaluate now supports LLMs                                        You can now use MLflow evaluate to compare results from your favorite LLMs on a fixed prompt.                                       With support for many of the standard evaluation metrics for LLMs built in directly to the API, the featured                     LLM modeling tasks of text summarization, text classification, question answering, and text generation allows you                     to view the results of submitted text to multiple models in a single UI element.                  Learn more  released in 2.4.0                           Chart View added to the MLflow UI                                        You can now visualize parameters and metrics across multiple runs as a chart on the runs table.                  Learn more  released in 2.2.0           Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
llms/index.html,"   Documentation  LLMs       LLMs  LLMs, or Large Language Models, have rapidly become a cornerstone in the machine learning domain, offering immense capabilities ranging from natural language understanding to code generation and more. However, harnessing the full potential of LLMs often involves intricate processes, from interfacing with multiple providers to fine-tuning specific models to achieve desired outcomes. Such complexities can easily become a bottleneck for developers and data scientists aiming to integrate LLM capabilities into their applications. MLflow’s Support for LLMs aims to alleviate these challenges by introducing a suite of features and tools designed with the end-user in mind:  MLflow AI Gateway    Serving as a unified interface, the MLflow AI Gateway simplifies interactions with multiple LLM providers, such as OpenAI, MosaicML, Cohere, Anthropic, PaLM 2, AWS Bedrock, and AI21 Labs. In addition to supporting the most popular SaaS LLM providers, the AI Gateway provides an integration to MLflow model serving, allowing you to serve your own LLM or a fine-tuned foundation model within your own serving infrastructure.  Note The MLflow AI Gateway is in active development and has been marked as Experimental. APIs may change as this new feature is refined and its functionality is expanded based on feedback.   Benefits of the MLflow AI Gateway   Unified Endpoint: No more juggling between multiple provider APIs. Simplified Integrations: One-time setup, no repeated complex integrations. Secure Credential Management:  Centralized storage prevents scattered API keys. No hardcoding or user-handled keys.   Consistent API Experience:  Uniform API across all providers. Easy-to-use REST endpoints and Client API.   Seamless Provider Swapping:  Swap providers without touching your code. Zero downtime provider, model, or route swapping.      Explore the Native Provider integrations  The MLflow AI Gateway supports a large range of foundational models from popular SaaS model vendors, as well as providing a means of self-hosting your own open source model via an integration with MLflow model serving. To learn more about how to get started using the MLflow AI Gateway to simplify the configuration and management of your LLM serving needs, select the provider that you’re interested in below:                                                   Getting Started Examples for each Provider  If you’re interested in learning about how to set up the MLflow AI Gateway for a specific provider, follow the links below for our up-to-date documentation on GitHub. Each link will take you to a README file that will explain how to set up a route for the provider. In the same directory as the README, you will find a runnable example of how to query the routes that the example creates, providing you with a quick reference for getting started with your favorite provider!  OpenAI quickstart MosaicML quickstart Anthropic quickstart Cohere quickstart MLflow quickstart AWS Bedrock quickstart AI21 Labs quickstart PaLM 2 quickstart Azure OpenAI quickstart Hugging Face Text Generation Interface (TGI) quickstart   Note The MLflow and Hugging Face TGI providers are for self-hosted LLM serving of either foundation open-source LLM models, fine-tuned open-source LLM models, or your own custom LLM. The example documentation for these providers will show you how to get started with these, using free-to-use open-source models from the Hugging Face Hub.     LLM Evaluation    Navigating the vast landscape of Large Language Models (LLMs) can be daunting. Determining the right model, prompt, or service that aligns with a project’s needs is no small feat. Traditional machine learning evaluation metrics often fall short when it comes to assessing the nuanced performance of generative models. Enter MLflow LLM Evaluation. This feature is designed to simplify the evaluation process, offering a streamlined approach to compare foundational models, providers, and prompts.  Benefits of MLflow’s LLM Evaluation   Simplified Evaluation: Navigate the LLM space with ease, ensuring the best fit for your project with standard metrics that can be used to compare generated text. Use-Case Specific Metrics: Leverage MLflow’s mlflow.evaluate() API for a high-level, frictionless evaluation experience. Customizable Metrics: Beyond the provided metrics, MLflow supports a plugin-style for custom scoring, enhancing the evaluation’s flexibility. Comparative Analysis: Effortlessly compare foundational models, providers, and prompts to make informed decisions. Deep Insights: Dive into the intricacies of generative models with a comprehensive suite of LLM-relevant metrics.  MLflow’s LLM Evaluation is designed to bridge the gap between traditional machine learning evaluation and the unique challenges posed by LLMs.    Prompt Engineering UI    Effective utilization of LLMs often hinges on crafting the right prompts. The development of a high-quality prompt is an iterative process of trial and error, where subsequent experimentation is not guaranteed to result in cumulative quality improvements. With the volume and speed of iteration through prompt experimentation, it can quickly become very overwhelming to remember or keep a history of the state of different prompts that were tried. Serving as a powerful tool for prompt engineering, the MLflow Prompt Engineering UI revolutionizes the way developers interact with and refine LLM prompts.  Benefits of the MLflow Prompt Engineering UI   Iterative Development: Streamlined process for trial and error without the overwhelming complexity. UI-Based Prototyping: Prototype, iterate, and refine prompts without diving deep into code. Accessible Engineering: Makes prompt engineering more user-friendly, speeding up experimentation. Optimized Configurations: Quickly hone in on the best model configurations for tasks like question answering or document summarization. Transparent Tracking:  Every model iteration and configuration is meticulously tracked. Ensures reproducibility and transparency in your development process.     Note The MLflow Prompt Engineering UI is in active development and has been marked as Experimental. Features and interfaces may evolve as feedback is gathered and the tool is refined.     Native MLflow Flavors for LLMs  Harnessing the power of LLMs becomes effortless with flavors designed specifically for working with LLM libraries and frameworks.  Benefits of MLflow’s Native Flavors for LLMs   Support for Popular Packages:  Native integration with packages like transformers, sentence-transformers, open-ai , and langchain. Standardized interfaces for tasks like saving, logging, and managing inference configurations.   PyFunc Compatibility:  Load models as PyFuncs for broad compatibility across serving infrastructures. Strengthens the MLOps process for LLMs, ensuring smooth deployments.   Cohesive Ecosystem:  All essential tools and functionalities consolidated under MLflow. Focus on deriving value from LLMs without getting bogged down by interfacing and optimization intricacies.      Explore the Native LLM Flavors  Select the integration below to read the documentation on how to leverage MLflow’s native integration with these popular libraries:                          Native Integration Examples  If you’d like to directly explore code examples for how to get started with using our official library integrations, you can navigate directly to our up-to-date examples on GitHub below:  transformers   Simple Text Generation Example A Conversational Model Example Component Logging with Transformers Audio Transcription with Whisper Fine-tuning a Text Classification Model    sentence-transformers   Text Encoding Example    langchain   Logging and using a Chain Logging and using an Agent Logging and using a Retriever Chain 1 Logging and using a Retrieval QA Chain 1     1 Demonstrates the use of Retrieval Augmented Generation (RAG) using a Vector Store  openai   Using a Completions endpoint Using a Chat endpoint Performing Embeddings Generation Using OpenAI on a Spark DataFrame for Batch Processing Using Azure OpenAI        LLM Tracking in MLflow    Empowering developers with advanced tracking capabilities, the MLflow LLM Tracking System stands out as the premier solution for managing and analyzing interactions with Large Language Models (LLMs).  Benefits of the MLflow LLM Tracking System   Robust Interaction Management: Comprehensive tracking of every LLM interaction for maximum insight. Tailor-Made for LLMs:  Unique features specifically designed for LLMs. From logging prompts to tracking dynamic data, MLflow has it covered.   Deep Model Insight:  Introduces ‘predictions’ as a core entity, alongside the existing artifacts, parameters, and metrics. Gain unparalleled understanding of text-generating model behavior and performance.   Clarity and Repeatability:  Ensures consistent and transparent tracking across all LLM interactions. Facilitates informed decision-making and optimization in LLM deployment and utilization.       Tutorials and Use Case Guides for LLMs in MLflow  Interested in learning how to leverage MLflow for your LLM projects? Look in the tutorials and guides below to learn more about interesting use cases that could help to make your journey into leveraging LLMs a bit easier!                            Evaluating LLMs                                       Learn how to evaluate LLMs with MLflow.                                           Using Custom PyFunc with LLMs                                       Explore the nuances of packaging, customizing, and deploying advanced LLMs in MLflow using custom PyFuncs.                                           Question Generation for RAG                                       Learn how to leverage LLMs to generate a question dataset for use in Retrieval Augmented Generation applications.                            Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
model-evaluation/index.html,"   Documentation  Model Evaluation       Model Evaluation   Harnessing the Power of Automation  In the evolving landscape of machine learning, the evaluation phase of model development is just as important as ever. Ensuring the accuracy, reliability, and efficiency of models is paramount to ensure that the model that has been trained has been as thoroughly validated as it can be prior to promoting it beyond the development phase. However, manual evaluation can be tedious, error-prone, and time-consuming. MLflow addresses these challenges head-on, offering a suite of automated tools that streamline the evaluation process, saving time and enhancing accuracy, helping you to have confidence that the solution that you’ve spent so much time working on will meet the needs of the problem you’re trying to solve.   LLM Model Evaluation  The rise of Large Language Models (LLMs) like ChatGPT has transformed the landscape of text generation, finding applications in question answering, translation, and text summarization. However, evaluating LLMs introduces unique challenges, primarily because there’s often no single ground truth to compare against. MLflow’s evaluation tools are tailored for LLMs, ensuring a streamlined and accurate evaluation process. Key Features:  Versatile Model Evaluation: MLflow supports evaluating various types of LLMs, whether it’s an MLflow pyfunc model, a URI pointing to a registered MLflow model, or any python callable representing your model. Comprehensive Metrics: MLflow offers a range of metrics for LLM evaluation. From metrics that rely on SaaS models like OpenAI for scoring (e.g., mlflow.metrics.genai.answer_relevance()) to function-based per-row metrics such as Rouge (mlflow.metrics.rougeL()) or Flesch Kincaid (mlflow.metrics.flesch_kincaid_grade_level()). Predefined Metric Collections: Depending on your LLM use case, MLflow provides predefined metric collections, such as “question-answering” or “text-summarization”, simplifying the evaluation process. Custom Metric Creation: Beyond the predefined metrics, MLflow allows users to create custom LLM evaluation metrics. Whether you’re looking to evaluate the professionalism of a response or any other custom criteria, MLflow provides the tools to define and implement these metrics. Evaluation with Static Datasets: As of MLflow 2.8.0, you can evaluate a static dataset without specifying a model. This is especially useful when you’ve saved model outputs in a dataset and want a swift evaluation without rerunning the model. Integrated Results View: MLflow’s mlflow.evaluate() returns comprehensive evaluation results, which can be viewed directly in the code or through the MLflow UI for a more visual representation.  Harnessing these features, MLflow’s LLM evaluation tools eliminate the complexities and ambiguities associated with evaluating large language models. By automating these critical evaluation tasks, MLflow ensures that users can confidently assess the performance of their LLMs, leading to more informed decisions in the deployment and application of these models.  Guides and Tutorials for LLM Model Evaluation  To learn more about how you can leverage MLflow’s evaluation features for your LLM-powered project work, see the tutorials below:                          RAG Evaluation                                       Learn how to evaluate a Retrieval Augmented Generation setup with MLflow Evaluate                                           Question-Answering Evaluation                                       See a working example of how to evaluate the quality of an LLM Question-Answering solution                                           RAG Question Generation Evaluation                                       See how to generate Questions for RAG generation and how to evaluate a RAG solution using MLflow                        Traditional ML Evaluation  Traditional machine learning techniques, from classification to regression, have been the bedrock of many industries. MLflow recognizes their significance and offers automated evaluation tools tailored for these classic techniques. Key Features:  Evaluating a Function: To get immediate results, you can evaluate a python function directly without logging the model. This is especially useful when you want a quick evaluation without the overhead of logging. Evaluating a Dataset: MLflow also supports evaluating a static dataset without specifying a model. This is invaluable when you’ve saved model outputs in a dataset and want a swift evaluation without having to rerun model inference. Evaluating a Model: With MLflow, you can set validation thresholds for your metrics. If a model doesn’t meet these thresholds compared to a baseline, MLflow will alert you. This automated validation ensures that only high-quality models progress to the next stages. Common Metrics and Visualizations: MLflow automatically logs common metrics like accuracy, precision, recall, and more. Additionally, visual graphs such as the confusion matrix, lift_curve_plot, and others are auto-logged, providing a comprehensive view of your model’s performance. SHAP Integration: MLflow is integrated with SHAP, allowing for the auto-logging of SHAP’s summarization importances validation visualizations when using the evaluate APIs.         Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
deep-learning/index.html,"   Documentation  Deep Learning       Deep Learning  The realm of deep learning has witnessed an unprecedented surge, revolutionizing numerous sectors with its ability to process vast amounts of data and capture intricate patterns. From the real-time object detection in autonomous vehicles to the generation of art through Generative Adversarial Networks, and from natural language processing applications in chatbots to predictive analytics in e-commerce, deep learning models are at the forefront of today’s AI-driven innovations. MLflow acknowledges the profound impact and complexity of deep learning. With a keen focus on the unique challenges posed by deep learning workflows, such as iterative model training and hyperparameter tuning, MLflow introduces a robust suite of tools specifically designed for these advanced models. MLflow helps to facilitate seamless model development, ensuring reproducibility, and provides enhanced monitoring capabilities with the concept of ‘steps’ for recording metrics at various training iterations, with integrated UI features that enable you to easily visualize the iterative improvements of key metrics during training epochs.  Key Benefits:   Iterative Model Training: With the concept of ‘steps’, MLflow allows users to log metrics at various training iterations, offering a granular view of the model’s progress. Reproducibility: Ensure that every model training run can be replicated with the exact same conditions. Scalability: Handle projects ranging from small-scale models to enterprise-level deployments with ease. Traceability: Keep track of every detail, from hyperparameters to the final model output.    Deep Autologging Integrations  One of the standout features of MLflow’s deep learning support is its deep autologging integrations. These integrations automatically capture and log intricate details during the training of deep learning models, ensuring that every nuance, from model parameters to evaluation metrics, is meticulously recorded. This is especially prominent in frameworks like TensorFlow, PyTorch Lightning, base PyTorch, and Keras, making the iterative training process more insightful and manageable.   Native Library Support  Deep learning in MLflow is enriched by its native support for a number of the most popular libraries. The native integration with each of these libraries within MLflow help to streamline and simplify the training process, as well as saving, logging, loading, and representing models as generic Python functions for inference use anywhere. Opting for these native integrations brings forth a myriad of advantages:  Auto-logging Capabilities: Automatically capture details without manual intervention. Custom Serialization: Streamline the model saving and loading process with custom methods tailored for each library. Unified Interface: Regardless of the underlying library, interact with a consistent MLflow interface.  The officially supported integrations for deep learning libraries in MLflow encompass:                             Harness the power of these integrations and elevate your deep learning projects with MLflow’s comprehensive support.   MLflow Tracking for Deep Learning  Tracking remains a cornerstone of the MLflow ecosystem, especially vital for the iterative nature of deep learning:  Experiments and Runs: Organize your deep learning projects into experiments, with each experiment containing multiple runs. Each run captures essential data like metrics at various training steps, hyperparameters, and the code state. Artifacts: Store vital outputs such as deep learning models, visualizations, or even tensorboard logs. This artifact repository ensures traceability and easy access. Metrics at Steps: With deep learning’s iterative nature, MLflow allows logging metrics at various training steps, offering a granular view of the model’s progress. Dependencies and Environment: Capture the computational environment, including deep learning frameworks’ versions, ensuring reproducibility. Input Examples and Model Signatures: Define the expected format of the model’s inputs, crucial for complex data like images or sequences. UI Integration: The enhanced UI provides a visual overview of deep learning runs, facilitating comparison and insights into training progress. Search Functionality: Efficiently navigate through your deep learning experiments using robust search capabilities. APIs: Interact with the tracking system programmatically, integrating deep learning workflows seamlessly.    Model Registry  A centralized repository for your deep learning models:  Versioning: Handle multiple iterations and versions of deep learning models, facilitating comparison or reversion. Annotations: Attach notes, training datasets, or other relevant metadata to models. Lifecycle Stages: Clearly define the stage of each model version, ensuring clarity in deployment and further fine-tuning.    Deployment for Deep Learning Models  Transition deep learning models from training to real-world applications:  Consistency: Ensure models, especially those with GPU dependencies, behave consistently across different deployment environments. Docker and GPU Support: Deploy in containerized environments, ensuring all dependencies, including GPU support, are encapsulated. Scalability: From deploying a single model to serving multiple distributed deep learning models, MLflow scales as per your requirements.         Previous Next                © MLflow Project, a Series of LF Projects, LLC. All rights reserved.          "
