question,answer,chunk,chunk_id,source
What is the purpose of the MLflow Model Registry?,"The purpose of the MLflow Model Registry is to collaboratively manage the full lifecycle of an MLflow Model. It provides model lineage, versioning, aliasing, tagging, and annotations. It serves as a centralized model store with a set of APIs and a UI for organizing and deploying models. The Model Registry allows users to register, organize, and serve MLflow models across different environments.","Documentation MLflow Model Registry MLflow Model Registry The MLflow Model Registry component is a centralized model store, set of APIs, and UI, to collaboratively manage the full lifecycle of an MLflow Model. It provides model lineage (which MLflow experiment and run produced the model), model versioning, model aliasing, model tagging, and annotations. Table of Contents Concepts Model Registry Workflows UI Workflow Register a Model Find Registered Models Deploy and Organize Models API Workflow Adding an MLflow Model to the Model Registry Deploy and Organize Models with Aliases and Tags Fetching an MLflow Model from the Model Registry Serving an MLflow Model from Model Registry Promoting an MLflow Model across environments Adding or Updating an MLflow Model Descriptions Renaming an MLflow Model Listing and Searching MLflow Models Deleting MLflow Models Registering a Model Saved Outside MLflow Registering an Unsupported Machine Learning Model Transitioning an MLflow Model’s Stage Archiving an MLflow Model Concepts The Model Registry introduces a few concepts that describe and facilitate the full lifecycle of an MLflow Model. ModelAn MLflow Model is created from an experiment or run that is logged with one of the model flavor’s mlflow.<model_flavor>.log_model() methods. Once logged, this model can then be registered with the Model Registry. Registered ModelAn MLflow Model can be registered with the Model Registry. A registered model has a unique name, contains versions,",0,model-registry.html
What is the purpose of registering a model with the Model Registry?,"The purpose of registering a model with the Model Registry is to have a unique name for the model, keep track of different versions of the model, store associated transitional stages, maintain model lineage, and store other metadata. By registering a model, you can easily refer to it using a model URI or the model registry API, making it convenient for deployment and updating of models in production workloads.","logged, this model can then be registered with the Model Registry. Registered ModelAn MLflow Model can be registered with the Model Registry. A registered model has a unique name, contains versions, associated transitional stages, model lineage, and other metadata. Model VersionEach registered model can have one or many versions. When a new model is added to the Model Registry, it is added as version 1. Each new model registered to the same model name increments the version number. Model AliasModel aliases allow you to assign a mutable, named reference to a particular version of a registered model. By assigning an alias to a specific model version, you can use the alias to refer that model version via a model URI or the model registry API. For example, you can create an alias named champion that points to version 1 of a model named MyModel. You can then refer to version 1 of MyModel by using the URI models:/MyModel@champion. Aliases are especially useful for deploying models. For example, you could assign a champion alias to the model version intended for production traffic and target this alias in production workloads. You can then update the model serving production traffic by reassigning the champion alias to a different model version. TagsTags are key-value pairs that you associate with registered models and model versions, allowing you to label and categorize them by function or status. For example, you could apply a tag with key ""task"" and value ""question-answering""",1,model-registry.html
What can you do with registered models and model versions?,"With registered models and model versions, you can label and categorize them by function or status. For example, you can apply tags to registered models to indicate their intended tasks, such as question-answering. At the model version level, you can tag versions undergoing pre-deployment validation or those cleared for deployment. Additionally, you can annotate the top-level model and each version individually using Markdown, providing descriptions and relevant information about the algorithm, dataset, or methodology.","associate with registered models and model versions, allowing you to label and categorize them by function or status. For example, you could apply a tag with key ""task"" and value ""question-answering"" (displayed in the UI as task:question-answering) to registered models intended for question answering tasks. At the model version level, you could tag versions undergoing pre-deployment validation with validation_status:pending and those cleared for deployment with validation_status:approved. Annotations and DescriptionsYou can annotate the top-level model and each version individually using Markdown, including description and any relevant information useful for the team such as algorithm descriptions, dataset employed or methodology. Model StageEach distinct model version can be assigned one stage at any given time. MLflow provides predefined stages for common use-cases such as Staging, Production or Archived. You can transition a model version from one stage to another stage. Model Registry Workflows If running your own MLflow server, you must use a database-backed backend store in order to access the model registry via the UI or API. See here for more information. Before you can add a model to the Model Registry, you must log it using the log_model methods of the corresponding model flavors. Once a model has been logged, you can add, modify, update, or delete the model in the Model Registry through the UI or the API. UI Workflow This section demonstrates how to use the MLflow",2,model-registry.html
"How can you add, modify, update, or delete a model in the Model Registry?","Once a model has been logged, you can add, modify, update, or delete the model in the Model Registry through the UI or the API.","flavors. Once a model has been logged, you can add, modify, update, or delete the model in the Model Registry through the UI or the API. UI Workflow This section demonstrates how to use the MLflow Model Registry UI to manage your MLflow models. Register a Model Follow the steps below to register your MLflow model in the Model Registry. Open the details page for the MLflow Run containing the logged MLflow model you’d like to register. Select the model folder containing the intended MLflow model in the Artifacts section. Click the Register Model button, which will trigger a form to pop up. In the Model dropdown menu on the form, you can either select “Create New Model”, which creates a new registered model with your MLflow model as its initial version, or select an existing registered model, which registers your model under it as a new version. The screenshot below demonstrates registering the MLflow model to a new registered model named ""iris_model_testing"". Find Registered Models After you’ve registered your models in the Model Registry, you can navigate to them in the following ways. Navigate to the Registered Models page, which links to your registered models and correponding model versions. Go to the Artifacts section of your MLflow Runs details page, click the model folder, and then click the model version at the top right to view the version created from that model. Deploy and Organize Models You can deploy and organize your models in the Model Registry using model",3,model-registry.html
How can you deploy and organize models in the Model Registry?,"You can deploy and organize your models in the Model Registry using model aliases and tags. To set aliases and tags for model versions in your registered model, navigate to the overview page of your registered model. You can add or edit aliases and tags for a specific model version by clicking on the corresponding Add link or pencil icon in the model version table. To learn more about a specific model version, navigate to the details page for that model version. In this page, you can inspect model version details like the model signature, MLflow source run, and creation timestamp. You can also view and configure the version’s aliases, tags, and description.","and then click the model version at the top right to view the version created from that model. Deploy and Organize Models You can deploy and organize your models in the Model Registry using model aliases and tags. To set aliases and tags for model versions in your registered model, navigate to the overview page of your registered model, such as the one below. You can add or edit aliases and tags for a specific model version by clicking on the corresponding Add link or pencil icon in the model verison table. To learn more about a specific model version, navigate to the details page for that model version. In this page, you can inspect model version details like the model signature, MLflow source run, and creation timestamp. You can also view and configure the verion’s aliases, tags, and description. API Workflow An alternative way to interact with Model Registry is using the MLflow model flavor or MLflow Client Tracking API interface. In particular, you can register a model during an MLflow experiment run or after all your experiment runs. Adding an MLflow Model to the Model Registry There are three programmatic ways to add a model to the registry. First, you can use the mlflow.<model_flavor>.log_model() method. For example, in your code: from sklearn.datasets import make_regression from sklearn.ensemble import RandomForestRegressor from sklearn.metrics import mean_squared_error from sklearn.model_selection import train_test_split import mlflow import mlflow.sklearn from",4,model-registry.html
What is the purpose of the mlflow.sklearn.log_model() method?,"The purpose of the mlflow.sklearn.log_model() method is to log the sklearn model and register it as a new version in the MLflow registry. If a registered model with the specified name already exists, the method creates a new version of the model. This method is used to track and manage different versions of the trained models in MLflow.","from sklearn.ensemble import RandomForestRegressor from sklearn.metrics import mean_squared_error from sklearn.model_selection import train_test_split import mlflow import mlflow.sklearn from mlflow.models import infer_signature with mlflow.start_run() as run: X, y = make_regression(n_features=4, n_informative=2, random_state=0, shuffle=False) X_train, X_test, y_train, y_test = train_test_split( X, y, test_size=0.2, random_state=42 ) params = {""max_depth"": 2, ""random_state"": 42} model = RandomForestRegressor(**params) model.fit(X_train, y_train) # Infer the model signature y_pred = model.predict(X_test) signature = infer_signature(X_test, y_pred) # Log parameters and metrics using the MLflow APIs mlflow.log_params(params) mlflow.log_metrics({""mse"": mean_squared_error(y_test, y_pred)}) # Log the sklearn model and register as version 1 mlflow.sklearn.log_model( sk_model=model, artifact_path=""sklearn-model"", signature=signature, registered_model_name=""sk-learn-random-forest-reg-model"", ) In the above code snippet, if a registered model with the name doesn’t exist, the method registers a new model and creates Version 1. If a registered model with the name exists, the method creates a new model version. The second way is to use the mlflow.register_model() method, after all your experiment runs complete and when you have decided which model is most suitable to add to the registry. For this method, you will need the run_id as part of the runs:URI argument. result =",5,model-registry.html
What method do you use to create a new registered model?,"To create a new registered model, you can use the create_registered_model() method. If the model name already exists, this method will throw an MlflowException because creating a new registered model requires a unique name. The create_registered_model() method creates an empty registered model with no version associated.","all your experiment runs complete and when you have decided which model is most suitable to add to the registry. For this method, you will need the run_id as part of the runs:URI argument. result = mlflow.register_model( ""runs:/d16076a3ec534311817565e6527539c0/sklearn-model"", ""sk-learn-random-forest-reg"" ) If a registered model with the name doesn’t exist, the method registers a new model, creates Version 1, and returns a ModelVersion MLflow object. If a registered model with the name exists, the method creates a new model version and returns the version object. And finally, you can use the create_registered_model() to create a new registered model. If the model name exists, this method will throw an MlflowException because creating a new registered model requires a unique name. from mlflow import MlflowClient client = MlflowClient() client.create_registered_model(""sk-learn-random-forest-reg-model"") The method above creates an empty registered model with no version associated. You can use create_model_version() as shown below to create a new version of the model. client = MlflowClient() result = client.create_model_version( name=""sk-learn-random-forest-reg-model"", source=""mlruns/0/d16076a3ec534311817565e6527539c0/artifacts/sklearn-model"", run_id=""d16076a3ec534311817565e6527539c0"", ) Deploy and Organize Models with Aliases and Tags Model aliases and tags help you deploy and organize your models in the Model Registry. Set and delete aliases on models To set, update, and delete",6,model-registry.html
How can you deploy and organize models in the Model Registry?,"You can deploy and organize models in the Model Registry by using model aliases and tags. Model aliases allow you to set, update, and delete aliases on models, while model tags allow you to set and delete tags on models. To set an alias for a model, you can use the `set_registered_model_alias` function from the MLflow Client API. To delete an alias, you can use the `delete_registered_model_alias` function. Similarly, to set a tag for a model, you can use the `set_registered_model_tag` function, and to delete a tag, you can use the `delete_registered_model_tag` function. Additionally, you can set and delete tags for specific model versions using the `set_model_version_tag` and `delete_model_version_tag` functions respectively.",") Deploy and Organize Models with Aliases and Tags Model aliases and tags help you deploy and organize your models in the Model Registry. Set and delete aliases on models To set, update, and delete aliases using the MLflow Client API, see the examples below: from mlflow import MlflowClient client = MlflowClient() # create ""champion"" alias for version 1 of model ""example-model"" client.set_registered_model_alias(""example-model"", ""champion"", 1) # reassign the ""Champion"" alias to version 2 client.set_registered_model_alias(""example-model"", ""Champion"", 2) # get a model version by alias client.get_model_version_by_alias(""example-model"", ""Champion"") # delete the alias client.delete_registered_model_alias(""example-model"", ""Champion"") Set and delete tags on models To set and delete tags using the MLflow Client API, see the examples below: from mlflow import MlflowClient client = MlflowClient() # Set registered model tag client.set_registered_model_tag(""example-model"", ""task"", ""classification"") # Delete registered model tag client.delete_registered_model_tag(""example-model"", ""task"") # Set model version tag client.set_model_version_tag(""example-model"", ""1"", ""validation_status"", ""approved"") # Delete model version tag client.delete_model_version_tag(""example-model"", ""1"", ""validation_status"") For more details on alias and tag client APIs, see the mlflow.client API documentation. Fetching an MLflow Model from the Model Registry After you have registered an MLflow model, you can fetch that",7,model-registry.html
How can you fetch a specific model version?,"To fetch a specific model version, you can supply that version number as part of the model URI. For example, you can use the mlflow.pyfunc.load_model() function with the model_uri parameter set to 'models:/{model_name}/{model_version}' to fetch the desired model version. Once the model is fetched, you can use it for predictions or in inference workloads.","For more details on alias and tag client APIs, see the mlflow.client API documentation. Fetching an MLflow Model from the Model Registry After you have registered an MLflow model, you can fetch that model using mlflow.<model_flavor>.load_model(), or more generally, load_model(). You can use the loaded model for one off predictions or in inference workloads such as batch inference. Fetch a specific model version To fetch a specific model version, just supply that version number as part of the model URI. import mlflow.pyfunc model_name = ""sk-learn-random-forest-reg-model"" model_version = 1 model = mlflow.pyfunc.load_model(model_uri=f""models:/{model_name}/{model_version}"") model.predict(data) Fetch a model version by alias To fetch a model version by alias, specify the model alias in the model URI, and it will fetch the model version currently under it. import mlflow.pyfunc model_name = ""sk-learn-random-forest-reg-model"" alias = ""champion"" champion_version = mlflow.pyfunc.load_model(f""models:/{model_name}@{alias}"") champion_version.predict(data) Note that model alias assignments can be updated independently of your production code. If the champion alias in the snippet above is reassigned to a new model version in the Model Registry, the next execution of this snippet will automatically pick up the new model version. This allows you to decouple model deployments from your inference workloads. Fetch the latest model version in a specific stage To fetch a model version by stage,",8,model-registry.html
How can you fetch the latest model version in a specific stage?,"To fetch the latest model version in a specific stage, you can provide the model stage as part of the model URI and it will fetch the most recent version of the model in that stage.","pick up the new model version. This allows you to decouple model deployments from your inference workloads. Fetch the latest model version in a specific stage To fetch a model version by stage, simply provide the model stage as part of the model URI, and it will fetch the most recent version of the model in that stage. import mlflow.pyfunc model_name = ""sk-learn-random-forest-reg-model"" stage = ""Staging"" model = mlflow.pyfunc.load_model(model_uri=f""models:/{model_name}/{stage}"") model.predict(data) Serving an MLflow Model from Model Registry After you have registered an MLflow model, you can serve the model as a service on your host. #!/usr/bin/env sh # Set environment variable for the tracking URL where the Model Registry resides export MLFLOW_TRACKING_URI=http://localhost:5000 # Serve the production model from the model registry mlflow models serve -m ""models:/sk-learn-random-forest-reg-model@champion"" Promoting an MLflow Model across environments Over the course of a model’s lifecycle, it might progress through various separate environments like development, testing, staging, production, and so on. This segregation facilitates continuous integration and deployment for the model. In MLflow, you can use registered models to set up environments for your MLflow Models, where each registered model corresponds to a specific environment. Furthermore, you can configure access controls for the registered models using MLflow Authentication. Then, to promote MLflow Models across",9,model-registry.html
