direction,rank,feature,weight
+,1,powerful,3.307630568882292
+,2,beautiful,3.070574970912821
+,3,remarkable,2.878226004297437
+,4,hilarious,2.8484829670622664
+,5,wonderful,2.7199861123445586
+,6,calls,2.6648284856278845
+,7,charmer,2.5538533511753823
+,8,terrific,2.395580341831809
+,9,refreshing,2.3765102834017937
+,10,appealing,2.336814633742438
+,11,captures,2.2710691889265453
+,12,portrait,2.268727515199388
+,13,energetic,2.2674116601442296
+,14,embrace,2.24774622436509
+,15,embracing,2.2243834215417206
+,16,impressive,2.1954564929601514
+,17,miracle,2.1899527042741673
+,18,goofiest,2.1822193469977242
+,19,openness,2.1530469065451325
+,20,pleasant,2.136947352017986
-,1,mess,-3.4734857367918326
-,2,lacking,-3.4129330720568576
-,3,lacks,-3.345446613570172
-,4,devoid,-3.3219002693516475
-,5,squanders,-3.2580875525969923
-,6,worst,-2.9947651852070765
-,7,distasteful,-2.843870737381233
-,8,muddled,-2.8326550304512246
-,9,bore,-2.7954061429782113
-,10,shifted,-2.71403548097865
-,11,pretends,-2.68311860848471
-,12,thinks,-2.6500848500576093
-,13,pointless,-2.637558833245469
-,14,failure,-2.6285716502279484
-,15,waste,-2.6100934352347385
-,16,lack,-2.6068835307042226
-,17,loses,-2.6032154907701965
-,18,stupid,-2.577153259432957
-,19,italics,-2.5351276717653555
-,20,insult,-2.532927347751375
